phi0,phi,<alpha>,zeta,lindemannParameter,x-link,kT/E_Before_Conversion,kT/E
"0.00302,",0.739756820209247,"6.32021335185185,","0.7409015353932447,","0.14435708617372636,","3.175E-5,",0.0053993462818086,5.3993462818086
"0.00309,",0.733087965552502,"6.249956768518513,","0.7342476959804032,","0.14962508526727084,","3.35E-5,",0.0051172881597572,5.1172881597572
"0.00314,",0.722816163323677,"6.1821177592592615,","0.7238563080927597,","0.1491168181505819,","3.525E-5,",0.0048637666639878,4.8637666639878
"0.00321,",0.718000045142405,"6.119730101851848,","0.718964160856073,","0.1495723784520698,","3.7000000000000005E-5,",0.0046334064415104,4.6334064415104
"0.0033,",0.71805690314478,"6.062523324074074,","0.7190793310585141,","0.14992170351126158,","3.875000000000001E-5,",0.0044241251447904,4.4241251447904
"0.00335,",0.710108988830094,"6.006178740740743,","0.7110452097925106,","0.1487304879408008,","4.050000000000001E-5,",0.0042328226373258,4.2328226373258
"0.00343,",0.708998595195912,"5.95431184259259,","0.7099398030842529,","0.1470454178619692,","4.225000000000001E-5,",0.0040574826723077,4.0574826723077
"0.00351,",0.708327205908473,"5.904930601851853,","0.7091766098583703,","0.14258585429735396,","4.400000000000001E-5,",0.0038961056297292,3.8961056297292
"0.00355,",0.699936768310479,"5.857228166666669,","0.7008191812055318,","0.14988697915944407,","4.5750000000000014E-5,",0.0037478513294261,3.7478513294261
"0.00361,",0.69611007221456,"5.812068481481484,","0.6969390100561561,","0.14942350060075274,","4.7500000000000016E-5,",0.0036095003318879,3.6095003318879
"0.00369,",0.696447599005051,"5.7694976574074115,","0.697230662160575,","0.1456331489997892,","4.925000000000002E-5,",0.0034810243822213,3.4810243822213
"0.00374,",0.691342734105421,"5.728232999999996,","0.6921682223293776,","0.1486365904729121,","5.100000000000002E-5,",0.0033614045031875,3.3614045031875
"0.00379,",0.686787007070868,"5.688547805555559,","0.6875023101884674,","0.14974349236590354,","5.275000000000002E-5,",0.0032498309610723,3.2498309610723
"0.00383,",0.680663287297004,"5.649813324074077,","0.6814186912359694,","0.14845535751374772,","5.4500000000000024E-5,",0.003145875388146,3.145875388146
"0.0039,",0.680279591845512,"5.614211861111111,","0.6809706228333108,","0.14863808579728158,","5.6250000000000026E-5,",0.0030476241761191,3.0476241761191
"0.00394,",0.674884682933812,"5.578567249999999,","0.675551970910689,","0.14548954726631014,","5.800000000000003E-5,",0.0029557180191049,2.9557180191049
"0.00401,",0.674837055070154,"5.545413212962962,","0.6755260274274756,","0.1477008058278364,","5.975000000000003E-5,",0.0028691495174395,2.8691495174395
"0.00408,",0.674962670136721,"5.51345159259259,","0.6756395285985677,","0.14915327849925325,","6.150000000000003E-5,",0.0027874954500928,2.7874954500928
"0.00413,",0.671978250294519,"5.482221203703704,","0.6726240374091261,","0.14755589308733252,","6.325000000000003E-5,",0.0027103361136437,2.7103361136437
"0.00419,",0.670776390758312,"5.451720657407404,","0.6714318338666203,","0.1467722413421259,","6.500000000000003E-5,",0.002637362708563,2.637362708563
"0.00425,",0.669742411048937,"5.422607870370369,","0.6703944245892831,","0.14891117617768967,","6.675000000000004E-5,",0.0025682186604317,2.5682186604317
"0.00428,",0.66423832192571,"5.3941240092592615,","0.6648387115057677,","0.14984438571300607,","6.850000000000004E-5,",0.0025026596390534,2.5026596390534
"0.00435,",0.66509247333196,"5.367352842592598,","0.6656758322229887,","0.14921804383713344,","7.025000000000004E-5,",0.002440300880871,2.440300880871
"0.00441,",0.664471624220231,"5.340428944444449,","0.665079587790457,","0.1483641166190972,","7.200000000000004E-5,",0.0023811121432608,2.3811121432608
"0.00443,",0.658111597723655,"5.314258768518519,","0.6586481495741037,","0.1498899723244373,","7.375000000000004E-5,",0.0023246802454305,2.3246802454305
"0.00447,",0.654891415732955,"5.289003666666664,","0.6554170416231228,","0.14982958093153606,","7.550000000000005E-5,",0.0022707371728307,2.2707371728307
"0.00454,",0.656140057948426,"5.264814907407406,","0.6566975182980367,","0.14897715922157637,","7.725000000000005E-5,",0.0022193119400041,2.2193119400041
"0.00461,",0.657441010164969,"5.2413632685185165,","0.6580262346524578,","0.1482279442840816,","7.900000000000005E-5,",0.002170241076191,2.170241076191
"0.00466,",0.656045805460293,"5.218086722222224,","0.6565805390144007,","0.1469774889450272,","8.075000000000005E-5,",0.0021229657949123,2.1229657949123
"0.0047,",0.653322672917429,"5.195550907407404,","0.6538544229687883,","0.14612851609505814,","8.250000000000005E-5,",0.0020779460418863,2.0779460418863
"0.00474,",0.650759155240962,"5.173703750000002,","0.651266796848351,","0.1476151004235482,","8.425000000000006E-5,",0.0020347931059956,2.0347931059956
"0.00479,",0.649670213687478,"5.152354712962966,","0.6501677654217031,","0.14919418290761574,","8.600000000000006E-5,",0.0019935213713879,1.9935213713879
"0.00483,",0.647311553692969,"5.131505944444449,","0.6478192785262294,","0.14907992837644377,","8.775000000000006E-5,",0.0019537831988062,1.9537831988062
"0.00486,",0.643764978880722,"5.110967500000001,","0.64426236275106,","0.1479746819958253,","8.950000000000006E-5,",0.0019156365870858,1.9156365870858
"0.00493,",0.645580353160458,"5.091398703703702,","0.6460889173015362,","0.14997528103614324,","9.125000000000006E-5,",0.0018786694843825,1.8786694843825
"0.00496,",0.642275410666264,"5.071965194444446,","0.6427473563545867,","0.14981096959327783,","9.300000000000007E-5,",0.0018433191506173,1.8433191506173
"0.00503,",0.644188365165775,"5.053342777777779,","0.6446618043335806,","0.14976116951441645,","9.475000000000007E-5,",0.001809278328883,1.809278328883
"0.00504,",0.638520375241627,"5.034437907407408,","0.6389821024333966,","0.14965049587394014,","9.650000000000007E-5,",0.0017764690503286,1.7764690503286
0.00387,0.684823149579118,5.64213048148148,0.685551645233381,0.146157864000288,0.0000549,0.0031225947391615,3.1225947391615
0.0046,0.652160059683764,5.23016952777778,0.65268822405068,0.149598051303466,0.0000798,0.0021483261712086,2.1483261712086
0.00525,0.63381097314496,4.95296200925926,0.634237217313046,0.148349504229247,0.0001047,0.0016374202586928,1.6374202586928
0.00588,0.625804101533315,4.74668876851852,0.626146436053898,0.14532189286473,0.0001296,0.001322754233206,1.322754233206
0.00641,0.614971608419692,4.58375446296296,0.61529942867407,0.148791250984676,0.0001545,0.0011095713300172,1.1095713300172
0.00692,0.607959894151983,4.45022777777778,0.608221977729103,0.148063912346071,0.0001794,0.000955566448613667,0.955566448613667
0.00738,0.600575752135959,4.33726934259259,0.600845508155509,0.149974168202163,0.0002043,0.00083910243904026,0.83910243904026
0.00785,0.597049781394298,4.24005217592593,0.597292676392133,0.14900713640219,0.0002292,0.000747952729298477,0.747952729298477
0.00827,0.592001639078442,4.15479858333333,0.592237667488374,0.148937133315896,0.0002541,0.000674653034271451,0.674653034271451
0.00858,0.581423928767787,4.07905474074074,0.581617980552558,0.149643532688425,0.000279,0.000614439438636641,0.614439438636641
0.00907,0.584578224017578,4.01131437037037,0.58476097102642,0.147290061770643,0.0003039,0.000564096439999737,0.564096439999738
